ID,title,x,y,cluster
250,The White Helmets,-0.4173684609115365,-0.10628904164721277,1
258,The Battered Bastards of Baseball,0.4557741848176455,0.4240856344477961,0
261,Sinister,0.015318537164411481,-0.20278423808672905,3
264,The Stanford Prison Experiment,-0.025389624163752438,-0.06374949872968319,1
265,My Week with Marilyn,-0.43461657915838897,0.13854705243478835,1
267,Secret Superstar,0.584968489033714,0.33852003556358223,0
269,Jarhead,0.5189838745003742,-0.6283686608518695,3
275,Olympus Has Fallen,-0.1953926982063391,-0.3799049315729152,3
288,The Score,-0.3336758020853426,0.13700303832439584,1
295,The Highwaymen,-0.5708843940403828,0.07179806458022152,1
298,Creep 2,0.6879288617655355,0.4856152670125414,2
300,Unrest,0.5888714248681842,0.31648207065464873,0
306,Blue Jay,-0.5744588955404207,0.08143077303373834,1
