,ID,0,1,2,3,4,5,6,7
549,825,Action,Adventure,Crime,Mystery,Romance,Thriller,,
550,827,Drama,,,,,,,
555,834,Documentary,,,,,,,
556,836,Action,Adventure,Family,Fantasy,Sci-Fi,Thriller,,
566,849,Biography,Drama,History,Romance,,,,
571,857,Documentary,,,,,,,
573,859,Action,Comedy,Crime,Drama,,,,
577,867,Thriller,,,,,,,
579,872,Documentary,Biography,,,,,,
580,873,Comedy,Crime,Romance,Thriller,,,,
587,890,Drama,History,,,,,,
588,892,Action,Adventure,Horror,Sci-Fi,Thriller,,,
592,896,Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller,,
596,903,Comedy,Drama,,,,,,
599,907,Documentary,,,,,,,
600,908,Biography,Drama,Sport,,,,,
601,911,Crime,Drama,Mystery,Thriller,,,,
602,912,Action,Comedy,Crime,,,,,
605,918,Action,Drama,Sci-Fi,Thriller,,,,
606,919,Drama,Romance,,,,,,
609,928,Crime,Drama,Mystery,Sci-Fi,Thriller,,,
618,946,Action,Crime,Drama,,,,,
621,951,Comedy,Drama,War,,,,,
633,978,Drama,Romance,Sci-Fi,,,,,
636,986,Documentary,Biography,,,,,,
640,991,Adventure,Comedy,Family,Fantasy,Horror,,,
647,1004,Biography,Drama,History,Mystery,Romance,War,,
650,1009,Animation,Adventure,Comedy,Family,Fantasy,,,
652,1013,Action,Adventure,Thriller,,,,,
653,1016,Horror,Thriller,,,,,,
662,1036,Drama,Horror,Thriller,,,,,
669,1053,Documentary,,,,,,,
670,1054,Drama,,,,,,,
671,1055,Crime,Drama,Fantasy,Mystery,Thriller,,,
672,1057,Adventure,Family,Fantasy,,,,,
674,1064,Crime,Horror,Mystery,Thriller,,,,
678,1069,Action,,,,,,,
680,1071,Drama,Horror,Mystery,,,,,
683,1076,Crime,Drama,Horror,Thriller,,,,
686,1090,Animation,Short,Comedy,Family,Fantasy,,,
689,1100,Comedy,,,,,,,
695,1114,Crime,Drama,Mystery,Thriller,,,,
697,1118,Comedy,Drama,Romance,,,,,
699,1122,Crime,Mystery,Sci-Fi,Thriller,,,,
700,1124,Action,Comedy,Crime,Thriller,,,,
702,1127,Documentary,,,,,,,
712,1145,Horror,Thriller,,,,,,
714,1152,Action,Drama,Thriller,,,,,
716,1157,Comedy,Drama,,,,,,
725,1171,Comedy,Drama,Romance,,,,,
728,1175,Action,Thriller,,,,,,
729,1177,Drama,Family,,,,,,
733,1190,Documentary,,,,,,,
737,1200,Action,Drama,History,Romance,War,,,
745,1212,Action,Adventure,Drama,Fantasy,,,,
747,1222,Horror,,,,,,,
750,1233,Comedy,Drama,,,,,,
751,1237,Action,Adventure,Crime,Thriller,,,,
754,1241,Action,Adventure,Comedy,,,,,
757,1247,Action,Crime,Drama,Mystery,Thriller,,,
762,1273,Comedy,Family,Romance,,,,,
766,1281,Comedy,Drama,Family,,,,,
769,1290,Comedy,Romance,,,,,,
772,1301,Action,Drama,Sci-Fi,,,,,
776,1321,Comedy,,,,,,,
779,1324,Documentary,Drama,Romance,,,,,
784,1333,Thriller,,,,,,,
789,1347,Documentary,,,,,,,
793,1353,Comedy,Drama,Romance,,,,,
797,1360,Action,Adventure,Drama,Romance,Thriller,,,
799,1365,Biography,Drama,Sport,,,,,
801,1368,Documentary,Comedy,Drama,,,,,
802,1369,Drama,Thriller,,,,,,
808,1387,Horror,Mystery,Thriller,,,,,
818,1409,Horror,Mystery,Thriller,,,,,
822,1420,Horror,,,,,,,
823,1421,Crime,Drama,Mystery,Thriller,,,,
824,1428,Action,Crime,Drama,Thriller,,,,
825,1430,Comedy,Drama,Romance,,,,,
827,1437,Crime,Drama,Mystery,Thriller,,,,
828,1439,Action,Adventure,Drama,History,,,,
834,1449,Comedy,Drama,,,,,,
836,1453,Action,Crime,Drama,Thriller,,,,
837,1456,Crime,Drama,Mystery,Romance,Thriller,,,
838,1457,Action,Drama,History,Horror,Romance,Thriller,War,Western
839,1459,Documentary,,,,,,,
840,1460,Action,Crime,Drama,,,,,
841,1461,Drama,Sci-Fi,,,,,,
843,1471,Action,Thriller,,,,,,
852,1491,Animation,Adventure,Family,Fantasy,,,,
855,1501,Action,Adventure,Family,Fantasy,,,,
860,1523,Animation,Short,Adventure,Family,,,,
872,1552,Crime,Drama,Mystery,,,,,
891,1600,Action,Crime,Drama,Thriller,,,,
893,1607,Action,Adventure,Drama,Fantasy,Sci-Fi,,,
902,1624,Crime,Drama,Thriller,,,,,
912,1660,Crime,Horror,Thriller,,,,,
