413,Adventure,8
413,Sci-Fi,12
426,Animation,16
426,Action,5
426,Adventure,8
426,Comedy,2
426,Family,9
426,Sci-Fi,12
427,Horror,6
427,Mystery,10
427,Thriller,3
428,Crime,7
428,Drama,1
429,Documentary,11
430,Action,5
430,Fantasy,13
430,Sci-Fi,12
430,Thriller,3
433,Drama,1
435,Drama,1
435,Romance,4
441,Adventure,8
441,Drama,1
441,Thriller,3
442,Comedy,2
442,Drama,1
442,Romance,4
447,Crime,7
447,Drama,1
447,Mystery,10
447,Thriller,3
454,Action,5
454,Comedy,2
454,Crime,7
454,Drama,1
454,Thriller,3
463,Biography,14
463,Drama,1
463,Music,18
465,Comedy,2
465,Romance,4
468,Drama,1
468,Fantasy,13
468,Horror,6
468,Mystery,10
468,Thriller,3
472,Drama,1
472,Romance,4
476,Comedy,2
476,Family,9
476,Fantasy,13
478,Drama,1
478,War,17
486,Action,5
486,Fantasy,13
487,Crime,7
487,Drama,1
487,Mystery,10
487,Thriller,3
491,Animation,16
491,Adventure,8
491,Comedy,2
491,Family,9
492,Adventure,8
492,Crime,7
492,Drama,1
492,Mystery,10
492,Thriller,3
494,Comedy,2
494,Drama,1
494,Romance,4
501,Action,5
501,Crime,7
501,Drama,1
501,Thriller,3
503,Biography,14
503,Drama,1
503,Family,9
503,Sport,19
510,Drama,1
510,Horror,6
510,Mystery,10
510,Thriller,3
512,Biography,14
512,Drama,1
512,Family,9
512,Romance,4
516,Action,5
516,Drama,1
516,Romance,4
516,Sci-Fi,12
516,Thriller,3
520,Action,5
520,Drama,1
520,Sci-Fi,12
523,Drama,1
523,History,15
523,Thriller,3
525,Documentary,11
525,History,15
536,Drama,1
536,History,15
536,Thriller,3
539,Documentary,11
541,Action,5
541,Adventure,8
541,Fantasy,13
541,Sci-Fi,12
541,Thriller,3
548,Action,5
548,Drama,1
551,Comedy,2
551,Drama,1
552,Comedy,2
554,Action,5
554,Comedy,2
554,Crime,7
554,Thriller,3
557,Crime,7
557,Thriller,3
563,Action,5
563,Adventure,8
563,Fantasy,13
563,Horror,6
563,Sci-Fi,12
563,Thriller,3
564,Action,5
564,Thriller,3
586,Drama,1
