ID,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
795,0.0645,0.306,0.628,75.16,0.0398,0.9,0.128,-10.774,0.0672
799,0.813,0.636,0.537,68.955,0.368,1.82E-05,0.118,-7.78,0.0285
803,0.897,0.135,0.00913,83.347,0.0409,0.00907,0.115,-25.933,0.0426
813,0.957,0.125,0.00947,96.255,0.0366,0.84,0.109,-32.031,0.0413
825,0.953,0.18,0.134,112.894,0.0555,0.932,0.0647,-16.588,0.0392
827,0.872,0.239,0.124,95.877,0.035,0.105,0.0483,-15.571,0.0423
834,0.966,0.336,0.0986,167.987,0.0403,0.878,0.099,-28.617,0.0337
836,0.00461,0.527,0.77,171.952,0.705,0,0.0817,-10.116,0.0504
849,0.855,0.0825,0.0525,79.532,0.0354,0.956,0.186,-17.271,0.0481
857,0.994,0.239,0.00275,66.979,0.0613,0.939,0.0963,-34.512,0.0327
859,0.941,0.546,0.153,147.001,0.0468,0.922,0.116,-19.451,0.0432
867,0.955,0.202,0.239,171.655,0.0741,0.888,0.101,-17.892,0.0425
872,0.98,0.22,0.161,78.843,0.0397,0.86,0.0924,-18.692,0.0447
873,0.936,0.512,0.239,31.555,0.185,0.935,0.109,-18.298,0.059
890,0.249,0.894,0.86,107.297,0.964,0.00597,0.061,-4.507,0.0694
892,0.0171,0.426,0.973,149.303,0.456,0.354,0.318,-6.559,0.126
896,0.419,0.476,0.298,136.891,0.0398,0.811,0.206,-17.377,0.0401
903,0.374,0.577,0.435,114.119,0.381,0.877,0.0901,-13.441,0.0356
907,0.949,0.504,0.279,123.084,0.0386,0.897,0.0963,-15.417,0.0395
908,0.046,0.723,0.666,113.99,0.117,0,0.106,-7.028,0.0274
911,0.74,0.605,0.297,124.022,0.284,0.00379,0.118,-11.261,0.0308
912,0.0547,0.445,0.878,134.988,0.237,0.00031,0.0826,-6.056,0.133
918,0.896,0.198,0.149,93.376,0.0398,0.852,0.126,-19.54,0.0349
919,0.757,0.432,0.219,138.003,0.0928,0.789,0.0822,-15.037,0.039
928,0.881,0.332,0.045,119.477,0.0386,0.926,0.0794,-29.707,0.0401
946,0.546,0.636,0.591,66.597,0.218,0,0.116,-12.894,0.926
