,ID,title,music_director,album_name,track_name,preview_url,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
73,92,Tarzan,David Newman,Tarzan (Original Motion Picture Soundtrack),Loud Like Love,https://p.scdn.co/mp3-preview/9c2fb266771c5251957d2f9b77c6ac9a22287c8f?cid=0e18970867524f1fba6634279dd9e5b2,9,0.00016,0.402,0.944,152.971,0.368,6.91E-06,0.114,-4.732,0.0559
76,96,Saving Mr. Banks,Thomas Newman,Saving Mr. Banks (Original Motion Picture Soundtrack/Deluxe Edition/Japan Release Version),Saving Mr. Banks (End Title),,11,0.957,0.309,0.281,105.878,0.103,0.271,0.0815,-12.746,0.0312
77,97,Icarus,Adam Peters,Icarus (Original Motion Picture Soundtrack),Icarus Ending,https://p.scdn.co/mp3-preview/179b3d4df84d93c254e5e27d219d0d0540d61799?cid=0e18970867524f1fba6634279dd9e5b2,22,0.973,0.486,0.361,106.141,0.339,0.93,0.0883,-16.829,0.0288
80,101,The Death of Stalin,Christopher Willis,The Death of Stalin (Original Motion Picture Soundtrack),"Moscow, 1953",https://p.scdn.co/mp3-preview/ea5df6d32967c37936aabfd0943f277d30c8d7c2?cid=0e18970867524f1fba6634279dd9e5b2,0,0.847,0.42,0.257,99.984,0.0643,0.887,0.097,-14.524,0.0366
86,113,Extraction,Ryan Dodson,Extraction (Original Motion Picture Soundtrack),The Agent,https://p.scdn.co/mp3-preview/38e0c4a99533d5d545da64ba67238fa1607dcaea?cid=0e18970867524f1fba6634279dd9e5b2,1,0.193,0.25,0.677,96.032,0.034,0.843,0.172,-14.26,0.0389
88,115,Blue Valentine,Grizzly Bear,Blue Valentine (Original Motion Picture Soundtrack),Granny Diner,https://p.scdn.co/mp3-preview/8340eacc50750ce9407f06ccec49b55e7c97ea6c?cid=0e18970867524f1fba6634279dd9e5b2,16,0.916,0.259,0.129,93.626,0.0398,0.684,0.388,-18.872,0.0371
90,117,Green Room,Will Blair,Green Room (Original Motion Picture Soundtrack),"Nazi Punks, Fuck Off",https://p.scdn.co/mp3-preview/0093c50dd05d72a20b856361594bb5defeb7813d?cid=0e18970867524f1fba6634279dd9e5b2,4,9.96E-05,0.248,0.995,150.708,0.429,0,0.53,-4.816,0.183
91,118,Kung Fu Panda 2,John Powell,Kung Fu Panda 2 (Music From The Motion Picture),Po Finds The Truth,,30,0.511,0.171,0.214,62.568,0.0393,0.587,0.0982,-16.396,0.0372
92,119,The Ballad of Buster Scruggs,Carter Burwell,The Ballad of Buster Scruggs (Original Motion Picture Soundtrack),When A Cowboy Trades His Spurs For Wings,https://p.scdn.co/mp3-preview/792a1d2a011109f68cbccad8365f1a631f0e19d5?cid=0e18970867524f1fba6634279dd9e5b2,29,0.819,0.575,0.226,135.361,0.478,0,0.121,-12.637,0.0365
93,122,The Adventures of Tintin,John Williams,The Adventures of Tintin,The Adventures of Tintin,https://p.scdn.co/mp3-preview/e8e6ecd4964012956e97e7ab30508b5ee47e2423?cid=0e18970867524f1fba6634279dd9e5b2,31,0.741,0.634,0.118,133.856,0.474,0.748,0.214,-22.22,0.0351
101,137,Solo: A Star Wars Story,John Powell,Solo: A Star Wars Story (Original Motion Picture Soundtrack/Deluxe Edition),Meet Han (1M1),,24,0.21,0.196,0.394,130.899,0.0392,0.945,0.105,-16.016,0.0639
102,138,Steve Jobs,Daniel Pemberton,Steve Jobs (Original Motion Picture Soundtrack),The Skylab Plan,https://p.scdn.co/mp3-preview/93bc73c4ef67888d3e37b1d20e359bab31f3da84?cid=0e18970867524f1fba6634279dd9e5b2,29,0.215,0.526,0.492,90.006,0.199,0.862,0.0762,-11.677,0.0324
