,ID,title,music_director,album_name,track_name,preview_url,popularity,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness
1804,4527,Black Book,Anne Dudley,Black Book (Original Soundtrack),Rachel's Theme,https://p.scdn.co/mp3-preview/1bc155179f3b71b37ffd3d8071c4856cca866f00?cid=0e18970867524f1fba6634279dd9e5b2,34,0.871,0.133,0.169,79.127,0.0756,0.591,0.0775,-15.832,0.0383
1810,4535,I Am Not Your Negro,Alexei Aigui,I Am Not Your Negro (Original Motion Picture Soundtrack),Remember This House,https://p.scdn.co/mp3-preview/1444c9e73f0dafa90c1e176b887ea54f0f3883af?cid=0e18970867524f1fba6634279dd9e5b2,8,0.972,0.354,0.204,149.207,0.415,0,0.235,-15.49,0.0324
1811,4536,The Ghost Writer,Alexandre Desplat,The Ghost Writer (Original Motion Picture Soundtrack),The Ghost Writer,,18,0.189,0.603,0.241,66.005,0.391,0.873,0.101,-19.633,0.0519
1813,4541,Indie Game: The Movie,Jim Guthrie,Indie Game: The Movie Soundtrack,"Maybe You'll Get Some, Maybe You Won't",https://p.scdn.co/mp3-preview/a908f282960fffbc28dcaebc040f845a574bc5d6?cid=0e18970867524f1fba6634279dd9e5b2,18,0.123,0.524,0.313,124.996,0.0354,0.0575,0.0885,-12.376,0.0332
1814,4542,The Boondock Saints,Jeff Danna,The Boondock Saints II: All Saints Day (Original Soundtrack),Saints from the Streets,https://p.scdn.co/mp3-preview/670e235e0e535d588a33f3a958ec836eaab94e83?cid=0e18970867524f1fba6634279dd9e5b2,15,0.971,0.188,0.248,107.964,0.0375,0.315,0.103,-18.305,0.0379
1815,4543,Miss Sloane,Max Richter,Miss Sloane (Original Motion Picture Soundtrack),Miss Sloane Solo,https://p.scdn.co/mp3-preview/3436253b4688abab5d9f3aec981ba506c24bc313?cid=0e18970867524f1fba6634279dd9e5b2,36,0.992,0.263,0.0177,73.247,0.173,0.906,0.119,-32.229,0.0412
1816,4545,You Were Never Really Here,Jonny Greenwood,You Were Never Really Here (Original Motion Picture Soundtrack),Tree Synthesisers,https://p.scdn.co/mp3-preview/11962f01944adec2a51ef0657319db94a0369fc6?cid=0e18970867524f1fba6634279dd9e5b2,30,0.955,0.148,0.29,88.868,0.0371,0.768,0.118,-15.859,0.0317
1819,4551,Fitzcarraldo,Popol Vuh,Fitzcarraldo (Original Motion Picture Soundtrack),Als lebten die engel auf erden,https://p.scdn.co/mp3-preview/88f673ce6c66545700afc377ebb2fed71fe8bdda?cid=0e18970867524f1fba6634279dd9e5b2,11,0.91,0.437,0.287,94.224,0.231,0.991,0.201,-16.959,0.026
1820,4552,The Big Country,Jerome Moross,The Big Country (Original Film Soundtrack),The Big Country,https://p.scdn.co/mp3-preview/c51b4f4d850b7c1e467d810e2c8a9fa0d9379998?cid=0e18970867524f1fba6634279dd9e5b2,2,0.623,0.123,0.462,89.896,0.263,0.948,0.267,-10.154,0.034
1823,4555,Arctic,Joseph Trapanese,Arctic (Original Motion Picture Soundtrack),Signal,https://p.scdn.co/mp3-preview/735ee8dd34939bdb1d156fe49664290ee564eaba?cid=0e18970867524f1fba6634279dd9e5b2,34,0.948,0.192,0.0357,117.386,0.0283,0.915,0.0777,-30.787,0.0459
1824,4557,Midnight Special,David Wingo,Midnight Special (Original Motion Picture Soundtrack),Midnight Special Theme,https://p.scdn.co/mp3-preview/eaefe8613227cdd30f7138b9b509761d2fcb1713?cid=0e18970867524f1fba6634279dd9e5b2,27,0.789,0.233,0.124,99.978,0.0392,0.822,0.109,-24.191,0.0364
1825,4558,King of Devil's Island,Johan Soderqvist,King of Devil's Island (Original Motion Picture Soundtrack),The Arrival,https://p.scdn.co/mp3-preview/f4d5bfdc0f752a4805583ac6fb6ee62a0328fc9e?cid=0e18970867524f1fba6634279dd9e5b2,14,0.962,0.0704,0.214,77.571,0.0469,0.948,0.104,-14.975,0.0343
1828,4562,The Report,David Wingo,The Report (Original Motion Picture Soundtrack),I Think I Should Start At The Beginning,https://p.scdn.co/mp3-preview/9a6632ad74ab961d5a8f117a9c6259863d377a36?cid=0e18970867524f1fba6634279dd9e5b2,27,0.887,0.421,0.147,144.069,0.115,0.894,0.117,-26.416,0.0295
1829,4563,The Sweet Hereafter,Mychael Danna,The Sweet Hereafter,Courage (Sam Dent Band Version),https://p.scdn.co/mp3-preview/d3ea69350832dc2c76bcd5c2356fc8f553bb1f38?cid=0e18970867524f1fba6634279dd9e5b2,17,0.821,0.537,0.136,89.902,0.309,0.00133,0.094,-19.948,0.0263
1830,4564,Dead Ringers,Howard Shore,Dead Ringers (The Complete Original Score Remastered) [Collector's Edition Vol. 5],Main Title,https://p.scdn.co/mp3-preview/a8c53a48c177cbd51e0c7f8b86f8be0367abc858?cid=0e18970867524f1fba6634279dd9e5b2,11,0.936,0.214,0.174,79.486,0.0356,0.91,0.143,-15.929,0.0375
1831,4565,Triangle,Christian Henson,Triangle (Original Motion Picture Soundtrack),Open Seas,https://p.scdn.co/mp3-preview/193a2a92f65ac2287fec0fddfa1712a4907d39f2?cid=0e18970867524f1fba6634279dd9e5b2,24,0.962,0.278,0.159,67.541,0.0374,0.882,0.0869,-16.275,0.0318
1839,4580,The Last Black Man in San Francisco,Emile Mosseri,The Last Black Man in San Francisco (Original Motion Picture Soundtrack),San Francisco (Be Sure to Wear Flowers in Your Hair),https://p.scdn.co/mp3-preview/87ed6bc6855baed2376db00ddc5db50249d81a39?cid=0e18970867524f1fba6634279dd9e5b2,44,0.885,0.352,0.139,111.269,0.152,0.000103,0.742,-14.212,0.0348
1843,4585,Hellraiser,Christopher Young,Hellraiser 30th Anniversary Edition (Original Motion Picture Soundtrack),Hellraiser,https://p.scdn.co/mp3-preview/bd746e69af62af07a572f4fa02aa0324bcc7d959?cid=0e18970867524f1fba6634279dd9e5b2,32,0.885,0.204,0.12,88.786,0.0384,0.916,0.0965,-18.706,0.0378
1845,4587,Air Force One,Jerry Goldsmith,Air Force One (Original Motion Picture Soundtrack / Deluxe Edition),The Parachutes,,12,0.348,0.17,0.191,91.709,0.156,0.565,0.146,-17.635,0.0317
1846,4588,Get the Gringo,Antonio Pinto,Get the Gringo (Original Motion Picture Soundtrack),Padre Nuestro,https://p.scdn.co/mp3-preview/bf2920c822a99a8449e13d14b3e2c41eea523c6a?cid=0e18970867524f1fba6634279dd9e5b2,14,0.0754,0.657,0.602,84.923,0.713,0,0.132,-5.563,0.0891
1850,4596,Dog Soldiers,Mark Thomas,Dog Soldiers (Original Soundtrack),Sarge's Theme,https://p.scdn.co/mp3-preview/77ae7bbd9b3e3865a11a2c4c5fa0a16c79d92efd?cid=0e18970867524f1fba6634279dd9e5b2,5,0.727,0.198,0.256,88.709,0.0439,0.905,0.108,-15.024,0.0324
1851,4597,The Aeronauts,Steven Price,The Aeronauts (Original Motion Picture Soundtrack),Home To You,,37,0.808,0.619,0.146,139.533,0.288,0,0.0971,-14.439,0.0382
1852,4598,The Lost City of Z,Christopher Spelman,The Lost City of Z (Original Motion Picture Soundtrack),The First Goodbye,https://p.scdn.co/mp3-preview/f84b598dcdc13ecca2c1cfd80251903609e4cdb9?cid=0e18970867524f1fba6634279dd9e5b2,24,0.893,0.339,0.083,75.994,0.0522,0.959,0.106,-21.043,0.031
1853,4601,The Endless Summer,The Sandals,The Original Soundtrack Music From Bruce Brown's The Endless Summer,"Theme From ""The Endless Summer""",,42,0.258,0.481,0.189,84.23,0.527,0.000198,0.0828,-16.923,0.0355
1856,4604,Holiday Inn,Irving Berlin,Irving Berlin's Holiday Inn (Original Broadway Cast Recording),Holiday Inn / Happy Holiday,https://p.scdn.co/mp3-preview/23ab2442e9d767929e6a42291f1c67a06b0428f3?cid=0e18970867524f1fba6634279dd9e5b2,27,0.752,0.545,0.592,95.241,0.779,0,0.102,-7.034,0.0487
1858,4607,Funny Face,Phil Mossman,Funny Face (Original Motion Picture Soundtrack),Funny Face Main Theme,https://p.scdn.co/mp3-preview/9bd11fd1c4061ee8f53bc3b283fcedb2e7986990?cid=0e18970867524f1fba6634279dd9e5b2,1,0.965,0.262,0.0104,60.3,0.0391,0.883,0.113,-20.941,0.0405
1859,4610,A Most Wanted Man,Herbert Gronemeyer,A Most Wanted Man (Original Motion Picture Soundtrack),Opening Theme,https://p.scdn.co/mp3-preview/87d2301f643deab56ec32c3fd3994b6e7e194fff?cid=0e18970867524f1fba6634279dd9e5b2,2,0.431,0.1,0.176,82.322,0.0373,0.804,0.116,-20.958,0.0357
1860,4612,Frantz,Philippe Rombi,Frantz (Original Motion Picture Soundtrack),"Nocturne No. 20 en Do Di챔se Mineur, Op. posth.",https://p.scdn.co/mp3-preview/07f512f5b03acdf52b3c8e5236e85a9acbc5ecce?cid=0e18970867524f1fba6634279dd9e5b2,30,0.971,0.266,0.143,96.092,0.0838,0.684,0.0885,-17.798,0.0421
1861,4615,Invisible Life,Benedikt Schiefer,Invisible Life (Original Motion Picture Soundtrack),Dear Diary,https://p.scdn.co/mp3-preview/3ab87d134b037c1d2740957f0cbcc1800fedafdb?cid=0e18970867524f1fba6634279dd9e5b2,8,0.971,0.517,0.00848,64.699,0.0301,0.904,0.0816,-27.577,0.0465
1863,4621,Brittany Runs a Marathon,Duncan Thum,Brittany Runs a Marathon (Original Motion Picture Soundtrack),Results,https://p.scdn.co/mp3-preview/9f6d1075c5c09b09a20319ee6fea25ebb27c47a5?cid=0e18970867524f1fba6634279dd9e5b2,2,0.0862,0.668,0.429,162.445,0.878,0.733,0.101,-14.137,0.183
1864,4623,What Maisie Knew,Nick Urata,What Maisie Knew (Original Motion Picture Soundtrack),On the Bridge,https://p.scdn.co/mp3-preview/0b0c41786ed3ee9eb4a86b7e251ba23da7daafcb?cid=0e18970867524f1fba6634279dd9e5b2,11,0.929,0.518,0.319,98.059,0.274,0.972,0.112,-15.269,0.0311
1865,4624,Citizen X,Randy Edelman,Citizen X (Original Television Soundtrack),A Heavy Burden,,2,0.961,0.093,0.0443,87.686,0.0361,0.984,0.122,-23.787,0.0412
1869,4630,Heidi,Niki Reiser,Heidi - Original Motion Picture Soundtrack,Der Klang der Berge,https://p.scdn.co/mp3-preview/b24a5b7a4bc6c0fd0dbb11e3c9264b4bbefdd832?cid=0e18970867524f1fba6634279dd9e5b2,26,0.77,0.454,0.234,144.132,0.227,0.909,0.104,-13.952,0.0323
1870,4631,Better Watch Out,Brian Cachia,Better Watch Out (Original Score),Mythbusters,https://p.scdn.co/mp3-preview/74888f58262fcf6db6d91295c886f90be7853aa4?cid=0e18970867524f1fba6634279dd9e5b2,3,0.552,0.46,0.546,95.107,0.0983,0.856,0.121,-11.501,0.0353
1872,4636,Marshall,Marcus Miller,Marshall (Original Motion Picture Soundtrack),For the Love of Freedom,https://p.scdn.co/mp3-preview/57da46382b8881a676080d9c5f6af976ce0ab869?cid=0e18970867524f1fba6634279dd9e5b2,47,0.967,0.538,0.0687,103.808,0.132,0.461,0.0854,-17.993,0.0371
1873,4638,McQueen,Michael Nyman,McQueen,McQueen: Time Lapse,https://p.scdn.co/mp3-preview/afbe3b32d810c17080b4d78346423f2f5b965b2e?cid=0e18970867524f1fba6634279dd9e5b2,26,0.903,0.315,0.148,76.48,0.127,0.428,0.128,-10.662,0.0327
1874,4639,The Band's Visit,David Yazbek,The Band's Visit (Original Broadway Cast Recording),Omar Sharif,https://p.scdn.co/mp3-preview/8debf4405d2bad09fa8901b32b198c3ca87b0112?cid=0e18970867524f1fba6634279dd9e5b2,42,0.832,0.328,0.251,143.441,0.12,3.18E-06,0.0755,-10.502,0.0339
1876,4642,Turbo Kid,Le Matos,Chronicles of the Wasteland / Turbo Kid (Original Motion Picture Soundtrack),Playtime Is Over,https://p.scdn.co/mp3-preview/984f87d091a24d6040eb962124a404b8434b309b?cid=0e18970867524f1fba6634279dd9e5b2,40,0.00383,0.668,0.779,109.996,0.446,0.69,0.05,-8.899,0.0465
1877,4643,One Child Nation,Nathan Halpern,One Child Nation (Original Motion Picture Soundtrack),The Bridge,https://p.scdn.co/mp3-preview/22c54a6755ba7c305401f10e9f4c0d1935ca4ded?cid=0e18970867524f1fba6634279dd9e5b2,1,0.983,0.193,0.0522,76.552,0.0279,0.947,0.0795,-20.891,0.041
1880,4647,Disobedience,Matthew Herbert,Disobedience (Original Motion Picture Soundtrack),Consequences,,14,0.922,0.163,0.00762,73.597,0.0351,0.959,0.0927,-39.374,0.0415
1886,4655,Priceless,For King & Country,Priceless (Original Motion Picture Soundtrack),Worth More,https://p.scdn.co/mp3-preview/028041784c72c719adc1ed407415ab42dc75aabe?cid=0e18970867524f1fba6634279dd9e5b2,39,0.786,0.224,0.269,135.669,0.0361,0.921,0.0607,-18.142,0.0347
1887,4658,Late Night,Lesley Barber,Late Night (Original Motion Picture Soundtrack),"Late Night ""Molly's Theme""",https://p.scdn.co/mp3-preview/7fe9ee86451087d58fe3ac0f7ac26bc5b9eff6fc?cid=0e18970867524f1fba6634279dd9e5b2,4,0.993,0.373,0.135,96.402,0.233,0.907,0.111,-32.034,0.0343
1888,4664,Blow the Man Down,Jordan Dykstra,Blow the Man Down (Original Motion Picture Soundtrack),Blow the Man Down (Traditional),https://p.scdn.co/mp3-preview/a38a4381fde7342ed83009607f0dc35e228b3b19?cid=0e18970867524f1fba6634279dd9e5b2,14,0.989,0.618,0.115,98.857,0.644,0,0.0812,-12.495,0.0966
1889,4665,Suspiria,Goblin,Suspiria (40th Anniversary) [Original Motion Picture Soundtrack],Suspiria,https://p.scdn.co/mp3-preview/b30511834bec13d94e714bba813cfc0eee4e59da?cid=0e18970867524f1fba6634279dd9e5b2,39,0.0754,0.164,0.625,178.156,0.426,0.61,0.313,-10.475,0.037
1893,4676,Opera,Claudio Simonetti,Opera,Opera,https://p.scdn.co/mp3-preview/d0ee1de169ddb4716b949fda025fd075e0f11833?cid=0e18970867524f1fba6634279dd9e5b2,10,0.526,0.396,0.457,90.03,0.175,0.0119,0.222,-6.952,0.0268
1894,4677,The Tillman Story,Philip Sheppard,The Tillman Story (Original Motion Picture Score),Chorale for Pat,https://p.scdn.co/mp3-preview/3bd454e4be716fc4615e28d0438ee15762421fce?cid=0e18970867524f1fba6634279dd9e5b2,2,0.933,0.207,0.0809,67.618,0.0692,0.253,0.0806,-20.633,0.0342
1899,4687,Sabotage,David Sardy,Sabotage (Original Motion Picture Soundtrack),Breachers Revenge,https://p.scdn.co/mp3-preview/579eaaafd626a48f5ab21b75092c29d9c5e39000?cid=0e18970867524f1fba6634279dd9e5b2,7,0.000658,0.348,0.498,149.991,0.181,0.88,0.0964,-9.47,0.028
1900,4691,The Secret of Roan Inish,Mason Daring,The Secret of Roan Inish (Original Motion Picture Soundtrack),Return to Roan Inish 1,https://p.scdn.co/mp3-preview/e998c346ecbb2e5a2293f94ee68b1ac67d6c24cf?cid=0e18970867524f1fba6634279dd9e5b2,3,0.882,0.464,0.372,110.124,0.906,0.000126,0.291,-9.79,0.0641
1902,4697,The King's Choice,Johan Soderqvist,The King's Choice (Original Score),The King's Choice,https://p.scdn.co/mp3-preview/f4c80613fd9080d11ecb4447f8f7ba222969bd0c?cid=0e18970867524f1fba6634279dd9e5b2,14,0.9,0.419,0.125,124.956,0.0379,0.881,0.0817,-20.927,0.0361
1908,4707,Dead Snow 2: Red vs. Dead,Christian Wibe,"Music from the Motion Picture ""Dead Snow 2: Red vs. Dead""",Hertzog쨈s Theme,https://p.scdn.co/mp3-preview/37b7a33c6b4d22f5f41398abf3a510e5ecea3ac1?cid=0e18970867524f1fba6634279dd9e5b2,2,0.66,0.429,0.373,91.607,0.365,0.856,0.32,-10.694,0.0351
1910,4712,Draft Day,John Debney,Draft Day (Original Motion Picture Soundtrack),We're Going to Have a Baby,https://p.scdn.co/mp3-preview/b0aa86111b30f32c2206c5e998f4a47e040fb58e?cid=0e18970867524f1fba6634279dd9e5b2,7,0.922,0.151,0.0488,66.702,0.0384,0.975,0.1,-24.278,0.0461
1913,4716,The Battery,Ryan Winford,The Battery (Original Score),Intro,,0,0.512,0.521,0.253,78.603,0.0359,0.0142,0.452,-35.499,0.203
1914,4718,"Don't Worry, He Won't Get Far on Foot",Danny Elfman,"Don't Worry, He Won't Get Far on Foot (Original Motion Picture Soundtrack)",1st Drink,https://p.scdn.co/mp3-preview/0f450e0b338f5e7a1c75969f0d0c2bad70416044?cid=0e18970867524f1fba6634279dd9e5b2,12,0.975,0.37,0.0437,99.714,0.116,0.934,0.09,-25.928,0.0341
1920,4727,Dark Water,Angelo Badalamenti,Dark Water,"Seattle, 1974 - Score",,6,0.721,0.237,0.145,93.434,0.0319,0.937,0.172,-29.908,0.0708
1922,4729,Becoming Astrid,Nicklas Schmidt,Becoming Astrid / Unga Astrid Lindgren (Original Motion Picture Soundtrack),Potato Field,https://p.scdn.co/mp3-preview/afe0e5992376d0c5b8400d22185a245924dc5568?cid=0e18970867524f1fba6634279dd9e5b2,32,0.982,0.237,0.0208,65.656,0.0411,0.965,0.11,-29.357,0.0469
1923,4730,The Snow Walker,Mychael Danna,The Snow Walker,Snow Walker 19,https://p.scdn.co/mp3-preview/6e091915909025f6d8187530908b5045b2300006?cid=0e18970867524f1fba6634279dd9e5b2,2,0.969,0.125,0.0405,147.784,0.0341,0.89,0.0767,-26.491,0.0424
1926,4734,Rambo: Last Blood,Brian Tyler,Rambo: Last Blood (Original Motion Picture Soundtrack),Sunset,https://p.scdn.co/mp3-preview/b87f707fedb4549fcd5775db63782d5058aceffd?cid=0e18970867524f1fba6634279dd9e5b2,35,0.531,0.107,0.243,81.213,0.0352,0.902,0.107,-14.506,0.034
1930,4740,The Man with the Golden Arm,Elmer Bernstein,The Man with the Golden Arm Original Soundtrack,Clark Street / The Top / Homecoming / Antek's,https://p.scdn.co/mp3-preview/343f55035926541058b8d7bfca331d1b87dfb9a4?cid=0e18970867524f1fba6634279dd9e5b2,0,0.151,0.265,0.544,169.982,0.731,0.828,0.265,-13.433,0.0978
1931,4742,A Private War,H. Scott Salinas,A Private War (Original Motion Picture Soundtrack),Requiem For A Private War,,28,0.62,0.314,0.113,109.842,0.0361,0.00415,0.171,-17.774,0.0334
1932,4747,Last Days in Vietnam,Gary Lionelli,Last Days in Vietnam (Original Motion Picture Soundtrack),Epilogue Theme,https://p.scdn.co/mp3-preview/612d45f0677c5f6a390e745bc02a8a648fb6384c?cid=0e18970867524f1fba6634279dd9e5b2,4,0.957,0.183,0.142,82.628,0.0395,0.982,0.0657,-17.499,0.0373
1936,4758,Grey Gardens,Rachel Portman,Grey Gardens (Music From The HBO Film),Little Edie On Chair,,24,0.96,0.237,0.0473,82.546,0.0452,0.874,0.0733,-20.175,0.0381
1937,4761,Macbeth,Jacques Ibert,Ibert: Macbeth / Golgotha / Don Quichotte,Macbeth: Suite symphonique: Overture,https://p.scdn.co/mp3-preview/0101e40bc083a73c9a56b74663de6c7f769fd1d2?cid=0e18970867524f1fba6634279dd9e5b2,0,0.907,0.225,0.0586,73.809,0.0682,0.725,0.112,-21.609,0.0345
1942,4771,My Friend Dahmer,Andrew Hollander,My Friend Dahmer (Original Motion Picture Soundtrack),Jeffrey's Command Performance,https://p.scdn.co/mp3-preview/da77d5d38ac4627a4d759bc443f5eb67811e8b5f?cid=0e18970867524f1fba6634279dd9e5b2,8,0.918,0.173,0.0699,71.359,0.0388,0.964,0.103,-27.782,0.0332
1953,4803,Stake Land,Jeff Grace,Stake Land (Original Motion Picture Soundtrack),Goodbye Belle,https://p.scdn.co/mp3-preview/9c3a5653f6c2c604f33af340cb4f65d579ff29d6?cid=0e18970867524f1fba6634279dd9e5b2,11,0.831,0.18,0.14,97.336,0.0382,0.926,0.0889,-17.389,0.0424
1955,4812,Like Crazy,Dustin O'Halloran,Like Crazy (Music from the Motion Picture),Fragile N.4,https://p.scdn.co/mp3-preview/75326dafcb4ed587926f4847aa02a99b6c113164?cid=0e18970867524f1fba6634279dd9e5b2,21,0.917,0.569,0.209,120.014,0.107,0.974,0.11,-11.691,0.0317
1957,4815,Changing Lanes,David Arnold,Changing Lanes (Original Motion Picture Score),"Changing Lanes, Part 25",,6,0.861,0.215,0.148,65.204,0.0349,0.946,0.107,-21.239,0.0395
1960,4818,Agora,Dario Marianelli,Agora,The Miracle of the Bread,https://p.scdn.co/mp3-preview/6fc86514496d4ce3a8553cb7b1af214c0480db9f?cid=0e18970867524f1fba6634279dd9e5b2,21,0.934,0.0683,0.115,76.104,0.0339,0.899,0.102,-19.85,0.0444
1968,4833,Troop Zero,Rob Lord,Troop Zero (Original Motion Picture Soundtrack),How You Get to Me,https://p.scdn.co/mp3-preview/848032ad17f304a65a40e31fff56e86224b3e58e?cid=0e18970867524f1fba6634279dd9e5b2,6,0.549,0.442,0.338,120.102,0.0414,0.462,0.0891,-10.65,0.0315
1969,4834,Salmon Fishing in the Yemen,Dario Marianelli,Salmon Fishing in the Yemen (Original Motion Picture Soundtrack),Prologue,https://p.scdn.co/mp3-preview/85ae2ff16ece2d236793cf6ad4a465132d53e901?cid=0e18970867524f1fba6634279dd9e5b2,9,0.98,0.349,0.0205,129.117,0.126,0.709,0.0578,-30.17,0.0368
1973,4843,Maidentrip,Ben Sollee,Maidentrip (Original Motion Picture Score),On the Atlantic Ocean,https://p.scdn.co/mp3-preview/1f74cf0f96be590bc5334fa13c15e837807f70ff?cid=0e18970867524f1fba6634279dd9e5b2,39,0.861,0.282,0.000865,128.082,0.0387,0.991,0.0893,-38.25,0.0622
1974,4848,Last Cab to Darwin,Ed Kuepper,Last Cab to Darwin,Rex and Polly's Theme (feat. Michael Caton & Ningali Lawford-Wolf),https://p.scdn.co/mp3-preview/9784453776aac4aa574adfd9244290fa36ff68d6?cid=0e18970867524f1fba6634279dd9e5b2,4,0.934,0.635,0.149,113.268,0.217,0.152,0.107,-16.164,0.0367
1975,4850,The Plague Dogs,Patrick Gleeson,The Plague Dogs (Original Motion Picture Soundtrack),Time and Tide,https://p.scdn.co/mp3-preview/15e4052976d666fd3392e4f243346aed5c5a26e9?cid=0e18970867524f1fba6634279dd9e5b2,14,0.718,0.435,0.405,140.973,0.312,0,0.085,-13.641,0.0636
1978,4856,Fan,Andrea Guerra,"Fan Theme (From ""Fan"")","Fan Theme (From ""Fan"")",https://p.scdn.co/mp3-preview/ddc215dbda372ae905e8ea91157ede868f6927cf?cid=0e18970867524f1fba6634279dd9e5b2,12,0.106,0.401,0.512,123.946,0.0725,0.307,0.0834,-10.62,0.039
1979,4858,Light of My Life,Daniel Hart,Light of My Life (Original Motion Picture Soundtrack),They'll Know,https://p.scdn.co/mp3-preview/3b6e5e90c5939f83a383fe0ba5f1039dbcb4a59e?cid=0e18970867524f1fba6634279dd9e5b2,0,0.787,0.132,0.0273,148.582,0.0374,0.803,0.0626,-21.365,0.0432
1986,4879,The Long Riders,Ry Cooder,The Long Riders (Original Motion Picture Soundtrack; 2008 Remaster),The Long Riders - 2008 Remaster,https://p.scdn.co/mp3-preview/fd8944bf4fc498d07c921055eca33f3d7da21553?cid=0e18970867524f1fba6634279dd9e5b2,6,0.403,0.439,0.163,89.097,0.492,0.000363,0.138,-17.293,0.0401
1987,4880,Any Day Now,Joey Newman,Any Day Now (Original Motion Picture Score),The Wanderer,https://p.scdn.co/mp3-preview/f6f0c22f3b3b3928c3972e4f78dba77867cdee66?cid=0e18970867524f1fba6634279dd9e5b2,1,0.992,0.126,0.00357,70.882,0.0392,0.914,0.0722,-30.802,0.0419
1992,4892,We Are Still Here,Wojciech Golczewski,We Are Still Here (Original Motion Picture Soundtrack),The House,https://p.scdn.co/mp3-preview/8664f9cf57d5fa255af6f3b2cc5429928cb9b82d?cid=0e18970867524f1fba6634279dd9e5b2,3,0.704,0.193,0.126,67.571,0.0604,0.899,0.108,-18.499,0.04
1993,4896,A Girl Like Her,David Bateman,A Girl Like Her,Jess and Brian,https://p.scdn.co/mp3-preview/177b6bc5a2b9fb4a9ab73b9510e8e204dbe44473?cid=0e18970867524f1fba6634279dd9e5b2,0,0.995,0.347,0.104,115.371,0.107,0.218,0.123,-18.423,0.0411
2000,4911,The Connection,Freddie Redd,"Freddie Redd Plays ""The Connection""",Who Killed Cock Robin?,https://p.scdn.co/mp3-preview/81027b5ac29c9183c71aa703d2c8b008aae3aaa6?cid=0e18970867524f1fba6634279dd9e5b2,1,0.745,0.614,0.713,109.119,0.815,0.122,0.0768,-5.531,0.0462
2002,4921,Fast Color,Rob Simonsen,Fast Color (Original Motion Picture Soundtrack),Let Us Help You,https://p.scdn.co/mp3-preview/d7577623cd97c7cd713078c98ba8a8b32d8afbdc?cid=0e18970867524f1fba6634279dd9e5b2,15,0.57,0.342,0.52,131.058,0.0299,0.924,0.0943,-15.593,0.0469
2003,4923,Dick Tracy,Danny Elfman,Dick Tracy (Original Score),Main Titles,https://p.scdn.co/mp3-preview/26cf34eb5351ea355ba577def302e7ab20a0fd8f?cid=0e18970867524f1fba6634279dd9e5b2,13,0.729,0.272,0.22,72.518,0.105,0.865,0.11,-18.463,0.0359
2004,4928,We Are Legion: The Story of the Hacktivists,John Dragonetti,We Are Legion: The Story of the Hacktivists (Original Motion Picture Soundtrack),"You Meet Your Own People, Finally",https://p.scdn.co/mp3-preview/648310437cd2ab1c4d97f645f7c1cee2676a010e?cid=0e18970867524f1fba6634279dd9e5b2,4,0.0812,0.741,0.571,92.024,0.394,0.736,0.113,-10.392,0.0358
2011,4940,Chuck Norris vs Communism,Rob Manning,Chuck Norris vs Communism,The Regime,https://p.scdn.co/mp3-preview/d78092f11a4ccd93f4591906073262bb240dd114?cid=0e18970867524f1fba6634279dd9e5b2,20,0.387,0.355,0.119,118.688,0.0706,0.421,0.0902,-22.083,0.0354
2014,4945,The Hole in the Ground,Stephen McKeon,The Hole in the Ground (Original Motion Picture Soundtrack),Main Titles,https://p.scdn.co/mp3-preview/d88d94b968a1423b5c0a57c6b1b98eb212c8de9e?cid=0e18970867524f1fba6634279dd9e5b2,2,0.498,0.161,0.0828,69.411,0.0362,0.337,0.128,-29.722,0.0546
2020,4962,The Midnight Meat Train,Johannes Kobilke,The Midnight Meat Train (Original Motion Picture Score),Leon the Butcher,https://p.scdn.co/mp3-preview/e47b4266c920953588db65cd7e578871fa7c47c7?cid=0e18970867524f1fba6634279dd9e5b2,5,0.686,0.55,0.418,147.107,0.119,0.931,0.108,-11.311,0.028
2027,4981,Finders Keepers,Osei Essed,Finders Keepers,Let's Do This Damn Thing,https://p.scdn.co/mp3-preview/56a1eec4fd6afb1dd1f210dbefbf7ecc723f004f?cid=0e18970867524f1fba6634279dd9e5b2,12,0.597,0.789,0.769,105.001,0.844,0.262,0.0421,-8.139,0.222
2031,4987,Mr. Calzaghe,Ceiri Torjussen,Mr. Calzaghe (Original Score to the Documentary Film),Dancing Around Lacy,https://p.scdn.co/mp3-preview/5deea5b9a51c8817e7bb1708881dc7da1733ce8a?cid=0e18970867524f1fba6634279dd9e5b2,3,0.889,0.402,0.36,83.018,0.101,0.833,0.135,-16.426,0.038
2038,5001,The Vikings,Mario Nascimbene,The Vikings,Violences and Rapes of the Vikings,https://p.scdn.co/mp3-preview/cd8dc6471a1ece3095e46e1ee3fbda908a3fbf96?cid=0e18970867524f1fba6634279dd9e5b2,0,0.895,0.173,0.302,86.714,0.248,0.891,0.136,-15.718,0.0431
2039,5002,The Soloist,Dario Marianelli,The Soloist,Cello Lesson,,17,0.973,0.332,0.0661,90.322,0.415,0.854,0.142,-22.984,0.0463
2044,5012,Apostasy,Matthew Wilcock,Apostasy (Original Motion Picture Soundtrack),I'll Save 'Er,https://p.scdn.co/mp3-preview/f66d6a2d83279d0b5cc328d6a04b00b542c39490?cid=0e18970867524f1fba6634279dd9e5b2,13,0.928,0.179,0.0071,66.71,0.0328,0.749,0.104,-32.125,0.0375
