,title,music_director,artist_id,album_uri
127,Charlie and the Chocolate Factory,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,
128,Freaks,Timothy Wynn,2Q7yEF9GmBah7qMbTAkriJ,
129,The Mask of Zorro,James Horner,3PhL2Vdao2v8SS8AptuhAr,spotify:album:4v1spgTtvxyrsGw0r4N3S8
130,The Natural,Randy Newman,3HQyFCFFfJO3KKBlUfZsyW,spotify:album:5BXflKlTYaSF7aSch0oxWh
131,Equilibrium,Klaus Badelt,03GruNQP8X25PCoWzdvIGZ,
132,Arthur Christmas,Harry Gregson-Williams,1BxqJ6pOCi8mkSjCbFYjpW,spotify:album:2xlKawIzlINPJstDCVLg36
133,Always Be My Maybe,Michael Andrews,0RkqytrwoGyXGvDiZwT6i2,
134,The Crying Game,Anne Dudley,41dLItQx3PSyP6n1AMd87b,
135,War Horse,John Williams,3dRfiJ2650SZu6GbydcHNb,spotify:album:5cPTGexzWKcl1NhZ8pEHu5
136,Shot Caller,Antonio Pinto,7jBJcoFeQkHaqrJBIZsd5h,
137,A Most Violent Year,Alex Ebert,1me05HW5s7TShHra5nN7uE,spotify:album:31RgnilntNpJdCqWVijfPF
138,The Other Guys,Jon Brion,57YJQe0ayvIaRZJ3PW5nFP,
139,On Body and Soul,Adam Balazs,1Q1NCNa5U65NzGjksLH0Zk,
140,Insidious,Joseph Bishara,4fVy28K9jDfbyHtPGFYqjk,spotify:album:4b8T8kDkrNJ7GTAw2CqF35
141,The Foreigner,Cliff Martinez,2OVqg3lxC8ZIf0vHcEqaCf,spotify:album:4m46Nl9vadXl7qgYf7kjwb
142,The Danish Girl,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,spotify:album:4oCncE7KIofq3NDgZRXpop
143,The Girl with All the Gifts,Cristobal Tapia de Veer,3uUcdriXzvaQapjo3a4DZR,
144,Bird Box,Trent Reznor,6cadOIa5DTh6a5mGo5r4bh,spotify:album:7i42GDZyq7HKW0kzW0djCW
145,Hostiles,Max Richter,2VZNmg4vCnew4Pavo8zDdW,spotify:album:1Xp9rz5hJZg5Wyobk8UJSF
146,LA 92,Danny Bensi,7fO0iCzJh7IvVEFiFYfOC2,spotify:album:2o8yuykY3WBWSlNRkGvSIu
147,20th Century Women,Roger Neill,5uIsAGdhVwyi5n2HAvlyk9,
148,Swiss Army Man,Andy Hull,1Rule8VpCyWvoSwUQQqGDV,
149,In This Corner of the World,Kotoringo,7lG8E4gKksZFbBPRcAO4E0,
150,A Ghost Story,Daniel Hart,3T91YntaaHTAKK2GYoTUPW,spotify:album:1gtkbVAs5tKmNLin9cRrjs
151,United 93,John Powell,3EAHF3jdnHHdko5DBrhRUP,spotify:album:5El8Vr5S8NNKtu1Tz9e76e
152,Patriot Games,James Horner,3PhL2Vdao2v8SS8AptuhAr,
153,The Secret Life of Pets 2,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,
154,Hitch,George Fenton,0NdNx5JwLDvas2LsMVTSyQ,
155,Enemy,Danny Bensi,7fO0iCzJh7IvVEFiFYfOC2,spotify:album:1FgnI6SiXdyACQvIGsMnol
156,Everybody's Everything,Patrick Stump,0wsdUS0EJ7zHgti2nxTVWR,
157,Indiana Jones and the Kingdom of the Crystal Skull,John Williams,3dRfiJ2650SZu6GbydcHNb,spotify:album:0oLE7gLc5TVEsJzuY6Dxf5
158,I Don't Feel at Home in This World Anymore,Brooke Blair,1MkCnZKJnLNlLUv2AEclLw,
159,The Endless,Jimmy Lavalle,1W3i3D5iKgKH5Yg2XhXqby,
160,Julie & Julia,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,
161,The Game Changers,Nathan Matthew David,306pekW0ihKJVqobzcmBC4,
162,Under the Shadow,Gavin Cullen,6mCKBAD4DqpCVo4tTUiGZb,
163,Angel Has Fallen,David Buckley,4XPIcwAIeDGi8lNDSbnGaT,spotify:album:2Qq1VGTngtVEcH1xhVZIi3
164,Kon-Tiki,Johan Soderqvist,0Z6bE6kOVhh2DHZPMUz2Sr,
165,Mary Poppins Returns,Marc Shaiman,4A5NGno1SttXk4vB4SLGHo,spotify:album:3tSAQUOsa0pZzpRGFStn8t
166,The Fear of 13,Philip Sheppard,6qzi6mPoJU4cBlO76U1Il1,
167,The Night Comes for Us,Aria Prayogi,0Bx8mIKYXVFyxUJ1C9qfPr,
168,Blood Father,Sven Faulconer,7KcNvEeatwBdFGU3d9eAUH,
169,American Factory,Chad Cannon,6uWCfedtEI8DXT7DVwCxj2,spotify:album:3D7BxuKLoA3Q4H42yQCRuP
170,Code 8,Ryan Taubert,79jExF7jUg31BFtXAmru1k,spotify:album:7jBYJQJTLhKJVADOtpN2q0
171,Salt,James Newton Howard,2M4eNCvV3CJUswavkhAQg2,spotify:album:7upOHndnOPN2DaAo6UZhDA
172,The Hundred-Foot Journey,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,spotify:album:3VCFFFv1HDjim03d7FxX7g
173,Chasing Coral,Saul Simon MacWilliams,0FlGu9ZnuvVtbtN2Gc9GNg,spotify:album:45zfziyPllTdRdn8xpyu7Y
174,The End of the Tour,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,
175,The One I Love,Danny Bensi,7fO0iCzJh7IvVEFiFYfOC2,spotify:album:5HjbjD1B85bmqWzXHeTwsP
176,Madagascar: Escape 2 Africa,Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,
177,What Happened to Monday,Christian Wibe,3sPh3kwEL3zqTj6FnjCy2F,
178,The Willoughbys,Mark Mothersbaugh,5sEDTHJJyDEWVFx99hGSIb,spotify:album:7oc9zRZVbq7A3k4xsjJ2Ed
179,The White Helmets,Patrick Jonsson,5wedfwksIuL9RVB3VpGxcl,spotify:album:6vi1u544Latr9ayyOd6Nsp
180,The Matrix Revolutions,Don Davis,3eCpCUtYdBCM1twAb4mk8I,
181,Austin Powers: The Spy Who Shagged Me,George S. Clinton,7yNXDeNn1rHZaEk941GcWZ,
182,Get Him to the Greek,Lyle Workman,2nNBTVuxOW6ZpFtxf4vRT5,
183,Slow West,Jed Kurzel,0qmPsuVLBgel2EQA4dm7ij,
184,The Battered Bastards of Baseball,Brocker Way,7luqyCs5ufZ03HQqQeaAJW,spotify:album:0xkniHM6Sqdc0yHGXOZHrF
185,The Perfection,Paul Haslinger,5d9PdhcsOsXj0GIM857nvE,
186,Ip Man 3,Kenji Kawai,0lzVrkjlIZJH18hk2Gcjkp,
187,Sinister,Christopher Young,1FMXF1g4Fz2MWDTogFj9EC,spotify:album:4isNDcdh05jGd91v2h6tbC
188,The Stanford Prison Experiment,Andrew Hewitt,4mMQy7Q3I3lcJXhk1FBy1P,spotify:album:4jYwoSTpG0Y2KkJt1b1Z3c
189,My Week with Marilyn,Conrad Pope,4dv7Vcz8DINl6TC179Y7s6,spotify:album:2WZQfYcCC1eaMDvpECLN5o
190,Catfish,Mark Mothersbaugh,5sEDTHJJyDEWVFx99hGSIb,
191,Secret Superstar,Amit Trivedi,7HCqGPJcQTyGJ2yqntbuyr,spotify:album:09x7TmgTujwGzuZBcl1ryA
192,Private Life,Howard Paar,3EM7v06jmbfRWUNoqtP0nh,
193,Jarhead,Thomas Newman,1csBgT42N4pPPs1HJhxXIK,spotify:album:6raD11uqkVIfZzk6bKIpdb
194,Yes Man,Mark Everett,6UCSxgEZeOUybcQeru3vQu,
195,For the Love of Spock,Nicholas Pike,7assoBxHmJ5u2UPDSQE6ZC,
196,Goon,Ramachandra Borcar,66JM6QvbhVbT1WcRPvjiRL,
197,Inequality for All,Marco D'Ambrosio,3Q9ujIlmpnUtIQ5aFOVkhJ,
198,Olympus Has Fallen,Trevor Morris,5ikWl4mjoiFlLPvkFRZETq,spotify:album:4jlD6FiNGZ4UI5p9HSUJcB
199,La Bamba,Miles Goodman,6EO3sg6d03gDegWGl2eILt,
200,The Edge of Democracy,Joao Eleuterio,1y7VcXeThRKp8T6xajvZQR,
201,The Polar Express,Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,
202,Tell Me Who I Am,Danny Bensi,7fO0iCzJh7IvVEFiFYfOC2,
203,Zack and Miri Make a Porno,James L. Venable,3sPQmJWSvOEeSec8vZtYFN,
204,The Score,Howard Shore,0OcclcP5o8VKH2TRqSY2A7,spotify:album:1SomkwLbPpCUMxac2hwz8E
205,9,Deborah Lurie,0zU7G01YKSZImwBPRU9ObN,
206,A Shaun the Sheep Movie: Farmageddon,Tom Howe,5784JqAJvI24V2Kr3xhoX6,
207,April and the Extraordinary World,Valentin Hadjadj,1fB8FRxj2bxuM2ssxdyFq0,
208,The Highwaymen,Thomas Newman,1csBgT42N4pPPs1HJhxXIK,spotify:album:6QeMijsi4xl13AxvFrm6Jz
209,Legend,Carter Burwell,0SbSDzM4X41hnlURed0fcV,
210,Creep 2,Julian Wass,6QXqARXg4hZ3oAUitm2gU0,spotify:album:0OFpjsD7itCNG3y3VMA9TG
211,Terminator 3: Rise of the Machines,Marco Beltrami,7yAPsqNhqqsTGsuOSZJg0i,
212,Unrest,Bear McCreary,2ifvIECHAlEgPMBuBOJ0lG,spotify:album:4aMiz28OnNb1Sgmx7qsdHl
213,Blue Jay,Julian Wass,6QXqARXg4hZ3oAUitm2gU0,spotify:album:3z3JVJLYueVqHItSGn67TZ
214,1922,Mike Patton,34Ai24gPz5YJ8NbksiNFef,spotify:album:0wXpfAiQ2Qmx9ZY9NkRyO2
215,Hancock,John Powell,3EAHF3jdnHHdko5DBrhRUP,
216,Circus of Books,Ian M Colletti,7GQyON9ihfvM0EhcbdWLHS,spotify:album:7hK5SijBikGozEGn0kD1m9
217,"Hail, Caesar!",Carter Burwell,0SbSDzM4X41hnlURed0fcV,spotify:album:7pj2To8P6YpAoXb2WJtqyr
218,The Pixar Story,Jeff Beal,4J71DltC2dxSTBO9kq14zS,
219,Den of Thieves,Cliff Martinez,2OVqg3lxC8ZIf0vHcEqaCf,spotify:album:5TKxPQAyW8xvUw9TCp4tAO
220,Wadjda,Max Richter,2VZNmg4vCnew4Pavo8zDdW,spotify:album:1M1HrHzRe1pzGmRv3UzJwx
221,The Spiderwick Chronicles,James Horner,3PhL2Vdao2v8SS8AptuhAr,spotify:album:5yUN7pw3qqq1x53Bht4FX5
222,The Christmas Chronicles,Christophe Beck,1GjWNGbMtHDQ7CNYf2d7cw,
223,Turbo,Henry Jackman,5SEW04tNMMrOz7UFQJA6vz,spotify:album:5KdPqXKysThmmwalJ1CnyM
224,My Girl,James Newton Howard,2M4eNCvV3CJUswavkhAQg2,
225,Remember,Rick Holets,5nnXnBJvXdXUD6YJw5gJ5j,spotify:album:03Rn3xJQ4fNL4ydsA1PEUb
226,Triple Frontier,Rich Vreeland,,
227,Bombshell: The Hedy Lamarr Story,Jeremy Bullock,,
228,Paddleton,Julian Wass,6QXqARXg4hZ3oAUitm2gU0,
229,Bad Boys II,Steve Jablonsky,5Il8YjuVAWkWNH2xgjFMpF,
230,Betting on Zero,Pete Anthony,5KKEMrGvNos1TXpuGz9Rbr,
231,Delhi Belly,Ram Sampath,3PpjqSKBer3obW6lDflOBx,spotify:album:5InIzc3p2f9FRErhzNUPTi
232,Being Elmo: A Puppeteer's Journey,Joel Goodman,2A0ntdSCRRvcg0UB3ADffI,
233,It Comes at Night,Brian McOmber,6SgmJflkwEjvHIpby6qbP1,spotify:album:6LWxFVs5JLg0T3PzGHmO6P
234,Creep,Kyle Field,5nOx43Nv2gJ8tcHa0DqOQ1,
235,The Interview,Henry Jackman,5SEW04tNMMrOz7UFQJA6vz,spotify:album:6ZodFPJMsvvircO1L2af7m
236,Bobby Robson: More Than a Manager,Jim Copperthwaite,7roEen94bDxXPEhG3DVjej,
237,Outbreak,James Newton Howard,2M4eNCvV3CJUswavkhAQg2,spotify:album:5qDojSFrcFyvCmUbDWjjIT
238,Black Snake Moan,Scott Bomar,76U2ctIFClRwEXVv28BVtk,
239,Bright,David Sardy,0np7Gr66erHdUHa86JX1bj,
240,Even the Rain,Alberto Iglesias,1HRRbATgv6NPHs7Twm74p2,
241,Candyman,Philip Glass,69lxxQvsfAIoQbB20bEPFC,spotify:album:2iSu7cG7QiCGjWx7CHJxXx
242,Mary and the Witch's Flower,Takatsugu Muramatsu,2FdBheCRIgBMhygsbki1mO,
243,Calibre,Anne Nikitin,1ZA3IynpePtaBeajOMrFfr,spotify:album:5HI3SveLbWm83OqXqSeUup
244,First They Killed My Father,Marco Beltrami,7yAPsqNhqqsTGsuOSZJg0i,
245,Us and Them,Vanesa Lorena Tate,,
246,Final Destination,Shirley Walker,6xA7PXadQA9wqRfcs8S5cy,
247,Kill the Messenger,Nathan Johnson,0zWHBQv6knnmZSovIvl6b1,
248,The American Meme,Tyler Strickland,7snYyPFSpX5wsEnrEEEx5u,
249,Outlaw King,Grey Dogs,22kCyciiVm1POZQZ4SPCbJ,spotify:album:5zdyDUfx5i0FUp2GA78nEB
250,21,David Sardy,0np7Gr66erHdUHa86JX1bj,
251,Holding the Man,Alan John,09VaicGZPX9BGrS8VpnCme,
252,Krisha,Brian McOmber,6SgmJflkwEjvHIpby6qbP1,spotify:album:01Tig41gNrPsoIYLK6igq2
253,Dear Ex,Ying-Hung Lee,,
254,The Cakemaker,Dominique Charpentier,2BDEX7NzONc6kAxVXu9lBa,spotify:album:0246oeKOW1lLlIQcIV9bGf
255,Instructions Not Included,Carlo Siliotto,4XUkCIS8otulGNjKrtRar7,
256,Bleed for This,Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,spotify:album:5qhvMcFK6M30nUPKAGJKU4
257,Girl,Valentin Hadjadj,1fB8FRxj2bxuM2ssxdyFq0,spotify:album:6diFld1yaJRczOghNIlrKN
258,The Sky Is Pink,Mikey McCleary,6p4FpOvJaSSljYGlkKsS40,
259,Chitty Chitty Bang Bang,Irwin Kostal,1HmcCckVaFw44DHhZKuKgN,
