ID,title,acousticness,danceability,energy,tempo,valence,instrumentalness,liveness,loudness,speechiness,cluster,feature_list
2757,Surviving Christmas with the Relatives,0.947790847,0.633958104,0.027115852,0.499438615,0.203494347,0.068172691,0.166374781,0.40924546,0.073974082,2,"[0.9477908470005352, 0.6339581036383681, 0.02711585205805124, 0.4994386149730397, 0.20349434737923947, 0.06817269076305221, 0.16637478108581435, 0.4092454604644432, 0.07397408207343413]"
2773,Desolate,0.798191543,0.573318633,0.507222212,0.334077226,0.04008222,0.870481928,0.093987157,0.680701247,0.082181425,3,"[0.7981915432136064, 0.5733186328555677, 0.5072222116068278, 0.334077226249717, 0.04008221993833504, 0.8704819277108434, 0.09398715703444248, 0.6807012467144131, 0.08218142548596112]"
2808,Robin Hood: The Rebellion,0.664656594,0.392502756,0.346315179,0.369673195,0.12024666,0.946787149,0.143023935,0.59355181,0.048272138,3,"[0.6646565941957441, 0.3925027563395809, 0.3463151786621184, 0.3696731953666098, 0.12024665981500515, 0.9467871485943776, 0.14302393461762988, 0.5935518097856229, 0.048272138228941684]"
2839,S Storm,0.000508979,0.573318633,0.573596363,0.637904347,0.201438849,0.942771084,0.24109749,0.668885191,0.046544276,0,"[0.0005089790004144001, 0.5733186328555677, 0.5735963626965205, 0.6379043473841306, 0.2014388489208633, 0.9427710843373494, 0.24109748978400464, 0.6688851913477536, 0.046544276457883366]"
2914,Viking Destiny,0.609435375,0.199558986,0.146187056,0.527729648,0.041418294,0.942771084,0.146526562,0.626492078,0.059827214,3,"[0.6094353746770789, 0.19955898566703412, 0.14618705643713614, 0.5277296480601028, 0.04141829393627955, 0.9427710843373494, 0.14652656158785754, 0.6264920784200245, 0.05982721382289416]"
2943,Chance Pe Dance,0.014451835,0.81477398,0.807917229,0.609964469,0.860226105,0.006014056,0.047402218,0.855000121,0.079049676,1,"[0.014451834917790762, 0.814773980154355, 0.8079172294222534, 0.6099644687172237, 0.8602261048304214, 0.0060140562248995975, 0.04740221833041446, 0.8550001205719935, 0.07904967602591792]"
2949,The Worthy,0.065355759,0.102205072,0.168311773,0.405606458,0.039054471,0.805220884,0.096322242,0.447683812,0.041900648,0,"[0.06535575909226918, 0.1022050716648291, 0.1683117734670337, 0.40560645754496855, 0.039054470709146964, 0.8052208835341367, 0.09632224168126094, 0.4476838120041477, 0.041900647948164144]"
2972,Ghanchakkar,0.262043703,0.987872106,0.592704073,0.58191832,0.932168551,0.128514056,0.069001751,0.895222938,0.069978402,1,"[0.2620437027960231, 0.9878721058434397, 0.5927040728587045, 0.5819183196336905, 0.9321685508735869, 0.1285140562248996, 0.0690017513134851, 0.8952229376160504, 0.06997840172786178]"
3007,Mumbai Matinee,0.164653552,0.791620728,0.885353739,0.462105356,0.581706064,0.040461847,0.028371278,0.869348188,0.0674946,1,"[0.1646535520085594, 0.7916207276736492, 0.8853537390268946, 0.4621053555669527, 0.5817060637204523, 0.040461847389558235, 0.028371278458844133, 0.869348187802937, 0.06749460043196544]"
3019,Bhasmasur,0.97690749,0.325248071,0.104954629,0.413558257,0.129496403,0.855421687,0.154699358,0.435144325,0.042116631,3,"[0.9769074900194676, 0.3252480705622932, 0.10495462924505436, 0.4135582569803492, 0.12949640287769784, 0.8554216867469879, 0.15469935785172212, 0.4351443246762642, 0.042116630669546434]"
