id,title,year,query_title,movie_url
4328,Julian Schnabel: A Private Portrait,2017,Julian+Schnabel%3A+A+Private+Portrait,/movie/bi/mi/basic.naver?code=162007
4331,Songbird,2018,Songbird,/movie/bi/mi/basic.naver?code=168021
4341,Random Tropical Paradise,2017,Random+Tropical+Paradise,0
4365,Benjamin,2019,Benjamin,0
4440,It's a Wonderful Life,1946,It%27s+a+Wonderful+Life,0
4442,Sunset Boulevard,1950,Sunset+Boulevard,0
4444,Some Like It Hot,1959,Some+Like+It+Hot,0
4448,Lady Bird,2017,Lady+Bird,0
4451,The Big Sick,2017,The+Big+Sick,/movie/bi/mi/basic.naver?code=158890
4452,Manchester by the Sea,2016,Manchester+by+the+Sea,/movie/bi/mi/basic.naver?code=137956
4454,Short Term 12,2013,Short+Term+12,/movie/bi/mi/basic.naver?code=109624
4455,Thor,2011,Thor,/movie/bi/mi/basic.naver?code=69989
4457,Night of the Living Dead,1968,Night+of+the+Living+Dead,0
4458,The Machinist,2004,The+Machinist,/movie/bi/mi/basic.naver?code=39618
4462,The Disaster Artist,2017,The+Disaster+Artist,/movie/bi/mi/basic.naver?code=144979
4463,Iron Man 2,2010,Iron+Man+2,/movie/bi/mi/basic.naver?code=49008
4464,Pi,1998,Pi,/movie/bi/mi/basic.naver?code=29480
4465,The Lighthouse,2019,The+Lighthouse,/movie/bi/mi/basic.naver?code=188874
4472,Charade,1963,Charade,/movie/bi/mi/basic.naver?code=12033
4473,Apocalypto,2006,Apocalypto,/movie/bi/mi/basic.naver?code=51579
4475,Eighth Grade,2018,Eighth+Grade,/movie/bi/mi/basic.naver?code=171901
4476,Hereditary,2018,Hereditary,0
4478,The Lincoln Lawyer,2011,The+Lincoln+Lawyer,/movie/bi/mi/basic.naver?code=80626
4493,Pride,2014,Pride,/movie/bi/mi/basic.naver?code=126214
4498,Tumbbad,2018,Tumbbad,/movie/bi/mi/basic.naver?code=179316
4499,A Man Called Ove,2015,A+Man+Called+Ove,0
4500,The Imposter,2012,The+Imposter,/movie/bi/mi/basic.naver?code=145303
4502,Midsommar,2019,Midsommar,/movie/bi/mi/basic.naver?code=182014
4510,The Hours,2002,The+Hours,/movie/bi/mi/basic.naver?code=31867
4512,For Sama,2019,For+Sama,/movie/bi/mi/basic.naver?code=184571
4513,Sweet Smell of Success,1957,Sweet+Smell+of+Success,/movie/bi/mi/basic.naver?code=39335
4516,Lars and the Real Girl,2007,Lars+and+the+Real+Girl,/movie/bi/mi/basic.naver?code=68946
4519,Bone Tomahawk,2015,Bone+Tomahawk,/movie/bi/mi/basic.naver?code=100641
4520,Honey Boy,2019,Honey+Boy,0
4523,Paterson,2016,Paterson,/movie/bi/mi/basic.naver?code=144975
4524,Fiddler on the Roof,1971,Fiddler+on+the+Roof,/movie/bi/mi/basic.naver?code=10592
4527,Black Book,2006,Black+Book,0
4535,I Am Not Your Negro,2017,I+Am+Not+Your+Negro,0
4536,The Ghost Writer,2010,The+Ghost+Writer,/movie/bi/mi/basic.naver?code=49945
4541,Indie Game: The Movie,2012,Indie+Game%3A+The+Movie,0
4542,The Boondock Saints,1999,The+Boondock+Saints,/movie/bi/mi/basic.naver?code=29285
4543,Miss Sloane,2016,Miss+Sloane,/movie/bi/mi/basic.naver?code=142632
4545,You Were Never Really Here,2017,You+Were+Never+Really+Here,/movie/bi/mi/basic.naver?code=152673
4551,Fitzcarraldo,1982,Fitzcarraldo,/movie/bi/mi/basic.naver?code=11388
4552,The Big Country,1958,The+Big+Country,/movie/bi/mi/basic.naver?code=13512
4555,Arctic,2018,Arctic,0
4557,Midnight Special,2016,Midnight+Special,/movie/bi/mi/basic.naver?code=118939
4558,King of Devil's Island,2010,King+of+Devil%27s+Island,0
4562,The Report,2019,The+Report,/movie/bi/mi/basic.naver?code=182052
4563,The Sweet Hereafter,1997,The+Sweet+Hereafter,/movie/bi/mi/basic.naver?code=30868
4564,Dead Ringers,1988,Dead+Ringers,/movie/bi/mi/basic.naver?code=12732
4565,Triangle,2009,Triangle,/movie/bi/mi/basic.naver?code=73087
4580,The Last Black Man in San Francisco,2019,The+Last+Black+Man+in+San+Francisco,0
4585,Hellraiser,1987,Hellraiser,/movie/bi/mi/basic.naver?code=14257
4587,Air Force One,1997,Air+Force+One,/movie/bi/mi/basic.naver?code=18533
4588,Get the Gringo,2012,Get+the+Gringo,/movie/bi/mi/basic.naver?code=69865
4596,Dog Soldiers,2002,Dog+Soldiers,/movie/bi/mi/basic.naver?code=36389
4597,The Aeronauts,2019,The+Aeronauts,/movie/bi/mi/basic.naver?code=167658
4598,The Lost City of Z,2016,The+Lost+City+of+Z,0
4601,The Endless Summer,1966,The+Endless+Summer,/movie/bi/mi/basic.naver?code=24076
4604,Holiday Inn,1942,Holiday+Inn,/movie/bi/mi/basic.naver?code=13969
4607,Funny Face,1957,Funny+Face,/movie/bi/mi/basic.naver?code=14125
4610,A Most Wanted Man,2014,A+Most+Wanted+Man,/movie/bi/mi/basic.naver?code=101999
4612,Frantz,2016,Frantz,/movie/bi/mi/basic.naver?code=149012
4615,Invisible Life,2019,Invisible+Life,0
4621,Brittany Runs a Marathon,2019,Brittany+Runs+a+Marathon,0
4623,What Maisie Knew,2013,What+Maisie+Knew,0
4624,Citizen X,1995,Citizen+X,0
4630,Heidi,2015,Heidi,/movie/bi/mi/basic.naver?code=146393
4631,Better Watch Out,2016,Better+Watch+Out,/movie/bi/mi/basic.naver?code=156532
4636,Marshall,2017,Marshall,/movie/bi/mi/basic.naver?code=154296
4638,McQueen,2018,McQueen,/movie/bi/mi/basic.naver?code=175445
4639,The Band's Visit,2007,The+Band%27s+Visit,0
4642,Turbo Kid,2015,Turbo+Kid,/movie/bi/mi/basic.naver?code=135012
4643,One Child Nation,2019,One+Child+Nation,/movie/bi/mi/basic.naver?code=181988
4647,Disobedience,2017,Disobedience,/movie/bi/mi/basic.naver?code=167095
4655,Priceless,2006,Priceless,0
4658,Late Night,2019,Late+Night,/movie/bi/mi/basic.naver?code=182046
4664,Blow the Man Down,2019,Blow+the+Man+Down,/movie/bi/mi/basic.naver?code=184711
4665,Suspiria,2018,Suspiria,/movie/bi/mi/basic.naver?code=151550
4676,Opera,1987,Opera,/movie/bi/mi/basic.naver?code=25462
4677,The Tillman Story,2010,The+Tillman+Story,/movie/bi/mi/basic.naver?code=73557
4687,Sabotage,1937,Sabotage,0
